OrderID,Product,Category,Quantity,Price,Revenue,Month
5001,Laptop,Electronics,6,2846,17076,Mar
5002,Phone,Electronics,6,27367,164202,Mar
5003,Watch,Accessories,5,31688,158440,Feb
5004,Headphone,Accessories,8,34941,279528,Apr
5005,Laptop,Accessories,3,45814,137442,Apr
5006,Laptop,Electronics,6,12027,72162,Mar
5007,Tablet,Electronics,2,42842,85684,Mar
5008,Headphone,Accessories,4,47695,190780,Apr
5009,Laptop,Electronics,8,12837,102696,Apr
5010,Tablet,Electronics,8,44407,355256,Jan
5011,Phone,Electronics,2,727,1454,Feb
5012,Laptop,Accessories,2,21095,42190,Jan
5013,Watch,Electronics,4,40158,160632,Mar
5014,Tablet,Accessories,3,1268,3804,Jan
5015,Tablet,Electronics,3,22725,68175,Feb
5016,Laptop,Electronics,5,1884,9420,Feb
5017,Watch,Accessories,5,9735,48675,Jan
5018,Watch,Electronics,7,13489,94423,Mar
5019,Watch,Accessories,1,38137,38137,Feb
5020,Laptop,Accessories,7,41393,289751,Jan
5021,Laptop,Electronics,1,47865,47865,Apr
5022,Watch,Accessories,8,29176,233408,Feb
5023,Laptop,Electronics,5,32963,164815,Apr
5024,Tablet,Accessories,3,23901,71703,Mar
5025,Phone,Accessories,2,15925,31850,Mar
5026,Phone,Electronics,8,39480,315840,Mar
5027,Phone,Electronics,2,49727,99454,Feb
5028,Headphone,Electronics,9,41047,369423,Jan
5029,Laptop,Electronics,6,2357,14142,Feb
5030,Tablet,Accessories,8,43997,351976,Jan
5031,Headphone,Electronics,2,11295,22590,Mar
5032,Tablet,Electronics,9,35036,315324,Apr
5033,Tablet,Electronics,8,13151,105208,Feb
5034,Phone,Electronics,5,12441,62205,Jan
5035,Headphone,Electronics,7,38658,270606,Apr
5036,Watch,Accessories,9,3331,29979,Feb
5037,Phone,Accessories,7,34091,238637,Feb
5038,Laptop,Electronics,1,9805,9805,Jan
5039,Laptop,Accessories,8,34595,276760,Apr
5040,Laptop,Accessories,6,23422,140532,Apr
5041,Watch,Electronics,4,10247,40988,Jan
5042,Laptop,Accessories,2,4406,8812,Feb
5043,Tablet,Accessories,5,15316,76580,Mar
5044,Headphone,Electronics,3,33185,99555,Feb
5045,Watch,Accessories,4,45069,180276,Apr
5046,Tablet,Accessories,9,13943,125487,Mar
5047,Tablet,Electronics,1,48092,48092,Feb
5048,Tablet,Electronics,8,11032,88256,Jan
5049,Phone,Accessories,2,43995,87990,Apr
5050,Phone,Accessories,5,16933,84665,Apr
5051,Tablet,Electronics,3,16020,48060,Apr
5052,Watch,Accessories,2,9674,19348,Apr
5053,Tablet,Electronics,8,25081,200648,Jan
5054,Watch,Electronics,7,37909,265363,Jan
5055,Tablet,Accessories,1,7843,7843,Jan
5056,Phone,Accessories,8,18851,150808,Apr
5057,Laptop,Accessories,1,25894,25894,Feb
5058,Laptop,Accessories,4,37158,148632,Apr
5059,Phone,Accessories,7,7850,54950,Feb
5060,Watch,Accessories,8,30139,241112,Jan
5061,Phone,Electronics,4,2088,8352,Apr
5062,Phone,Accessories,4,10889,43556,Apr
5063,Headphone,Accessories,6,12568,75408,Mar
5064,Tablet,Accessories,8,8268,66144,Mar
5065,Laptop,Accessories,5,12927,64635,Jan
5066,Laptop,Electronics,8,47486,379888,Jan
5067,Laptop,Accessories,4,42159,168636,Mar
5068,Phone,Electronics,7,25121,175847,Feb
5069,Laptop,Electronics,8,39441,315528,Mar
5070,Laptop,Accessories,3,41872,125616,Jan
5071,Headphone,Electronics,4,17336,69344,Feb
5072,Phone,Accessories,3,1245,3735,Jan
5073,Watch,Electronics,8,29434,235472,Apr
5074,Headphone,Accessories,4,16868,67472,Apr
5075,Laptop,Accessories,7,16495,115465,Jan
5076,Laptop,Accessories,4,5771,23084,Jan
5077,Phone,Electronics,7,2461,17227,Apr
5078,Phone,Accessories,5,19212,96060,Jan
5079,Headphone,Accessories,3,25308,75924,Feb
5080,Tablet,Accessories,7,17917,125419,Mar
5081,Watch,Accessories,3,16395,49185,Jan
5082,Phone,Electronics,4,23649,94596,Mar
5083,Laptop,Accessories,1,7094,7094,Apr
5084,Laptop,Electronics,9,34578,311202,Mar
5085,Headphone,Accessories,3,7193,21579,Feb
5086,Headphone,Electronics,2,24027,48054,Jan
5087,Watch,Accessories,6,26784,160704,Apr
5088,Headphone,Electronics,8,43259,346072,Feb
5089,Tablet,Electronics,6,12594,75564,Jan
5090,Headphone,Electronics,2,28456,56912,Feb
5091,Tablet,Accessories,5,37587,187935,Jan
5092,Phone,Electronics,7,16588,116116,Apr
5093,Headphone,Accessories,9,1554,13986,Mar
5094,Tablet,Electronics,7,7332,51324,Jan
5095,Headphone,Accessories,8,3687,29496,Apr
5096,Phone,Electronics,1,5591,5591,Feb
5097,Watch,Accessories,1,36270,36270,Mar
5098,Watch,Electronics,3,31957,95871,Mar
5099,Watch,Electronics,7,9567,66969,Apr
5100,Laptop,Electronics,2,23446,46892,Mar
