BillNo,Customer,Product,Quantity,Price,TotalBill,PaymentMode
3001,Cust_1,Sugar,1,1349,1349,UPI
3002,Cust_2,Soap,1,1298,1298,Cash
3003,Cust_3,Sugar,4,983,3932,Card
3004,Cust_4,Rice,6,1946,11676,Cash
3005,Cust_5,Sugar,2,848,1696,Cash
3006,Cust_6,Milk,7,496,3472,Cash
3007,Cust_7,Milk,5,1886,9430,Card
3008,Cust_8,Rice,7,1245,8715,Cash
3009,Cust_9,Oil,6,341,2046,UPI
3010,Cust_10,Milk,7,536,3752,UPI
3011,Cust_11,Sugar,7,1101,7707,Card
3012,Cust_12,Milk,6,868,5208,UPI
3013,Cust_13,Sugar,6,876,5256,Card
3014,Cust_14,Oil,3,554,1662,Card
3015,Cust_15,Milk,3,974,2922,UPI
3016,Cust_16,Sugar,5,1489,7445,Card
3017,Cust_17,Rice,7,705,4935,Cash
3018,Cust_18,Sugar,4,567,2268,UPI
3019,Cust_19,Oil,5,1324,6620,Cash
3020,Cust_20,Sugar,4,1510,6040,Card
3021,Cust_21,Rice,3,489,1467,UPI
3022,Cust_22,Milk,3,431,1293,Card
3023,Cust_23,Oil,7,1386,9702,UPI
3024,Cust_24,Milk,5,865,4325,Card
3025,Cust_25,Soap,4,118,472,Card
3026,Cust_26,Milk,2,438,876,UPI
3027,Cust_27,Sugar,6,1476,8856,Cash
3028,Cust_28,Soap,3,673,2019,Cash
3029,Cust_29,Soap,2,1884,3768,UPI
3030,Cust_30,Rice,1,67,67,UPI
3031,Cust_31,Rice,7,780,5460,Cash
3032,Cust_32,Rice,4,1530,6120,UPI
3033,Cust_33,Rice,7,1248,8736,Card
3034,Cust_34,Soap,4,829,3316,UPI
3035,Cust_35,Sugar,3,205,615,UPI
3036,Cust_36,Sugar,7,461,3227,UPI
3037,Cust_37,Rice,2,1901,3802,Card
3038,Cust_38,Soap,4,1593,6372,Cash
3039,Cust_39,Soap,4,475,1900,Card
3040,Cust_40,Rice,3,1383,4149,Card
3041,Cust_41,Sugar,5,1018,5090,Cash
3042,Cust_42,Sugar,4,1749,6996,Card
3043,Cust_43,Sugar,3,181,543,UPI
3044,Cust_44,Oil,5,1351,6755,Card
3045,Cust_45,Milk,1,1500,1500,Cash
3046,Cust_46,Soap,4,501,2004,Cash
3047,Cust_47,Rice,3,1144,3432,Card
3048,Cust_48,Rice,3,1898,5694,Card
3049,Cust_49,Milk,1,1921,1921,Cash
3050,Cust_50,Milk,7,1425,9975,UPI
3051,Cust_51,Oil,4,1864,7456,UPI
3052,Cust_52,Sugar,1,1330,1330,Cash
3053,Cust_53,Milk,6,106,636,Card
3054,Cust_54,Milk,6,1572,9432,Card
3055,Cust_55,Sugar,7,812,5684,Card
3056,Cust_56,Soap,1,1661,1661,UPI
3057,Cust_57,Oil,4,464,1856,Cash
3058,Cust_58,Milk,7,979,6853,UPI
3059,Cust_59,Milk,3,931,2793,UPI
3060,Cust_60,Rice,4,1455,5820,UPI
3061,Cust_61,Soap,5,576,2880,UPI
3062,Cust_62,Sugar,1,396,396,Card
3063,Cust_63,Sugar,4,968,3872,Card
3064,Cust_64,Rice,7,992,6944,UPI
3065,Cust_65,Milk,7,1943,13601,Card
3066,Cust_66,Milk,6,1191,7146,UPI
3067,Cust_67,Rice,5,1848,9240,Card
3068,Cust_68,Oil,5,1958,9790,Card
3069,Cust_69,Milk,1,112,112,Cash
3070,Cust_70,Soap,3,80,240,Card
3071,Cust_71,Oil,4,1307,5228,Cash
3072,Cust_72,Milk,1,854,854,Card
3073,Cust_73,Rice,6,107,642,Cash
3074,Cust_74,Sugar,4,1041,4164,Cash
3075,Cust_75,Soap,3,1328,3984,UPI
3076,Cust_76,Milk,6,1467,8802,UPI
3077,Cust_77,Oil,4,114,456,UPI
3078,Cust_78,Soap,2,1132,2264,Card
3079,Cust_79,Oil,6,929,5574,Cash
3080,Cust_80,Soap,2,642,1284,Card
3081,Cust_81,Oil,6,1068,6408,Card
3082,Cust_82,Soap,5,873,4365,Card
3083,Cust_83,Oil,4,1571,6284,Card
3084,Cust_84,Oil,6,1314,7884,Cash
3085,Cust_85,Oil,1,204,204,Card
3086,Cust_86,Soap,4,182,728,Cash
3087,Cust_87,Soap,6,733,4398,UPI
3088,Cust_88,Rice,6,1267,7602,Cash
3089,Cust_89,Oil,5,727,3635,UPI
3090,Cust_90,Oil,7,1087,7609,Card
3091,Cust_91,Sugar,2,680,1360,UPI
3092,Cust_92,Oil,5,725,3625,Card
3093,Cust_93,Oil,5,192,960,UPI
3094,Cust_94,Soap,5,490,2450,UPI
3095,Cust_95,Oil,5,308,1540,Card
3096,Cust_96,Rice,6,666,3996,Card
3097,Cust_97,Sugar,7,1480,10360,Card
3098,Cust_98,Sugar,5,536,2680,Card
3099,Cust_99,Milk,7,754,5278,Cash
3100,Cust_100,Milk,4,1581,6324,UPI
