StudentID,Name,Gender,Maths,Science,English,Total,Grade
1,Student_1,Female,50,95,41,186,D
2,Student_2,Female,63,37,53,153,B
3,Student_3,Female,44,54,67,165,B
4,Student_4,Female,55,80,59,194,B
5,Student_5,Male,57,95,55,207,B
6,Student_6,Male,69,80,43,192,D
7,Student_7,Male,75,59,84,218,D
8,Student_8,Male,61,90,97,248,B
9,Student_9,Female,51,86,64,201,B
10,Student_10,Male,97,47,51,195,D
11,Student_11,Male,51,71,89,211,B
12,Student_12,Male,42,76,88,206,C
13,Student_13,Male,41,66,65,172,A
14,Student_14,Male,61,77,89,227,D
15,Student_15,Female,48,37,79,164,D
16,Student_16,Male,93,74,78,245,C
17,Student_17,Female,60,42,93,195,D
18,Student_18,Male,38,46,70,154,C
19,Student_19,Male,96,62,75,233,B
20,Student_20,Male,92,58,56,206,A
21,Student_21,Female,67,72,35,174,C
22,Student_22,Male,45,89,56,190,C
23,Student_23,Male,41,68,72,181,C
24,Student_24,Male,53,41,53,147,A
25,Student_25,Female,38,47,71,156,D
26,Student_26,Female,52,71,35,158,A
27,Student_27,Male,78,41,75,194,A
28,Student_28,Male,51,99,78,228,C
29,Student_29,Male,53,42,63,158,B
30,Student_30,Female,94,81,60,235,C
31,Student_31,Female,64,37,80,181,B
32,Student_32,Female,80,61,74,215,C
33,Student_33,Male,41,85,61,187,D
34,Student_34,Female,98,54,99,251,D
35,Student_35,Female,59,75,68,202,A
36,Student_36,Male,53,57,66,176,B
37,Student_37,Male,68,79,74,221,D
38,Student_38,Female,77,76,46,199,C
39,Student_39,Male,38,70,58,166,A
40,Student_40,Female,53,84,86,223,D
41,Student_41,Female,87,62,83,232,C
42,Student_42,Male,57,85,78,220,B
43,Student_43,Male,49,36,97,182,C
44,Student_44,Male,39,56,74,169,B
45,Student_45,Male,62,40,51,153,C
46,Student_46,Male,43,41,56,140,B
47,Student_47,Male,41,76,73,190,B
48,Student_48,Male,61,45,96,202,A
49,Student_49,Male,45,99,99,243,B
50,Student_50,Male,68,39,40,147,C
51,Student_51,Female,52,50,78,180,D
52,Student_52,Female,75,89,35,199,B
53,Student_53,Male,77,46,57,180,D
54,Student_54,Female,95,39,60,194,A
55,Student_55,Male,65,57,92,214,A
56,Student_56,Female,71,41,77,189,C
57,Student_57,Female,43,94,43,180,B
58,Student_58,Male,83,79,96,258,A
59,Student_59,Female,54,46,50,150,A
60,Student_60,Male,83,53,85,221,B
61,Student_61,Female,88,87,38,213,D
62,Student_62,Female,45,99,81,225,C
63,Student_63,Male,73,90,62,225,D
64,Student_64,Male,44,99,90,233,B
65,Student_65,Female,95,71,99,265,B
66,Student_66,Male,95,83,56,234,A
67,Student_67,Male,58,93,65,216,D
68,Student_68,Female,87,74,50,211,C
69,Student_69,Male,89,72,42,203,D
70,Student_70,Male,62,89,75,226,B
71,Student_71,Male,74,40,44,158,C
72,Student_72,Female,44,61,67,172,C
73,Student_73,Female,49,50,86,185,B
74,Student_74,Male,66,90,54,210,C
75,Student_75,Female,91,45,74,210,C
76,Student_76,Female,91,52,90,233,C
77,Student_77,Female,93,83,40,216,B
78,Student_78,Female,62,73,83,218,A
79,Student_79,Male,85,89,39,213,D
80,Student_80,Female,37,73,97,207,B
81,Student_81,Male,92,68,69,229,D
82,Student_82,Female,58,58,86,202,D
83,Student_83,Female,60,81,61,202,C
84,Student_84,Female,76,78,54,208,D
85,Student_85,Male,44,59,90,193,D
86,Student_86,Female,50,65,57,172,B
87,Student_87,Female,65,99,39,203,D
88,Student_88,Male,84,68,85,237,B
89,Student_89,Female,75,39,47,161,C
90,Student_90,Male,46,71,85,202,A
91,Student_91,Female,35,62,47,144,D
92,Student_92,Female,93,69,59,221,A
93,Student_93,Female,72,67,76,215,D
94,Student_94,Female,53,40,61,154,D
95,Student_95,Female,44,74,74,192,A
96,Student_96,Male,92,51,82,225,D
97,Student_97,Female,49,71,84,204,A
98,Student_98,Female,70,94,85,249,A
99,Student_99,Male,58,68,93,219,D
100,Student_100,Female,64,56,59,179,A
