OrderID,Customer,FoodItem,Quantity,Price,TotalAmount,DeliveryTime,PaymentMode
5001,Cust_1,Sandwich,4,259,1036,56,UPI
5002,Cust_2,Pizza,5,236,1180,30,Card
5003,Cust_3,Sandwich,5,544,2720,19,UPI
5004,Cust_4,Burger,1,452,452,29,UPI
5005,Cust_5,Biryani,2,609,1218,31,Card
5006,Cust_6,Pasta,2,372,744,32,UPI
5007,Cust_7,Pasta,2,231,462,13,UPI
5008,Cust_8,Pizza,1,449,449,20,Cash
5009,Cust_9,Burger,5,617,3085,58,Card
5010,Cust_10,Pizza,4,557,2228,53,Card
5011,Cust_11,Biryani,2,749,1498,59,Cash
5012,Cust_12,Pasta,5,505,2525,55,Cash
5013,Cust_13,Pizza,5,313,1565,23,Card
5014,Cust_14,Sandwich,5,508,2540,33,Cash
5015,Cust_15,Sandwich,1,743,743,17,Cash
5016,Cust_16,Pasta,3,575,1725,43,Card
5017,Cust_17,Sandwich,2,573,1146,55,UPI
5018,Cust_18,Burger,4,775,3100,37,Card
5019,Cust_19,Biryani,5,400,2000,12,Cash
5020,Cust_20,Pizza,4,737,2948,53,Cash
5021,Cust_21,Sandwich,2,327,654,52,Cash
5022,Cust_22,Biryani,1,188,188,23,UPI
5023,Cust_23,Pasta,4,693,2772,45,Card
5024,Cust_24,Pizza,2,190,380,12,UPI
5025,Cust_25,Sandwich,5,489,2445,43,Card
5026,Cust_26,Pizza,1,796,796,52,Cash
5027,Cust_27,Burger,3,282,846,40,Cash
5028,Cust_28,Biryani,3,519,1557,21,Card
5029,Cust_29,Sandwich,5,112,560,39,UPI
5030,Cust_30,Pizza,1,454,454,25,Card
5031,Cust_31,Sandwich,2,341,682,21,UPI
5032,Cust_32,Pizza,4,549,2196,14,Card
5033,Cust_33,Burger,3,758,2274,49,UPI
5034,Cust_34,Pizza,1,693,693,42,Card
5035,Cust_35,Sandwich,5,205,1025,14,Cash
5036,Cust_36,Pizza,2,114,228,31,Cash
5037,Cust_37,Sandwich,3,659,1977,58,Card
5038,Cust_38,Pasta,2,435,870,47,UPI
5039,Cust_39,Pizza,1,445,445,29,Card
5040,Cust_40,Pizza,1,133,133,27,UPI
5041,Cust_41,Pizza,2,581,1162,53,UPI
5042,Cust_42,Sandwich,1,198,198,42,Card
5043,Cust_43,Burger,4,781,3124,49,Card
5044,Cust_44,Burger,3,317,951,27,Card
5045,Cust_45,Pasta,3,199,597,12,Card
5046,Cust_46,Pizza,1,291,291,40,UPI
5047,Cust_47,Biryani,3,500,1500,38,Card
5048,Cust_48,Burger,3,295,885,52,Card
5049,Cust_49,Biryani,5,710,3550,31,UPI
5050,Cust_50,Sandwich,3,248,744,53,UPI
5051,Cust_51,Biryani,3,665,1995,48,Card
5052,Cust_52,Pizza,2,305,610,38,Card
5053,Cust_53,Sandwich,4,657,2628,11,Card
5054,Cust_54,Sandwich,2,299,598,12,Cash
5055,Cust_55,Biryani,3,797,2391,16,UPI
5056,Cust_56,Biryani,3,562,1686,43,Cash
5057,Cust_57,Burger,5,194,970,12,Cash
5058,Cust_58,Pasta,5,234,1170,40,UPI
5059,Cust_59,Sandwich,5,175,875,31,Cash
5060,Cust_60,Pizza,4,527,2108,44,Cash
5061,Cust_61,Pasta,5,380,1900,39,Cash
5062,Cust_62,Pizza,1,680,680,13,UPI
5063,Cust_63,Pasta,3,366,1098,15,Card
5064,Cust_64,Pizza,2,335,670,26,Cash
5065,Cust_65,Pasta,3,467,1401,13,UPI
5066,Cust_66,Burger,4,402,1608,34,Card
5067,Cust_67,Sandwich,1,586,586,22,Cash
5068,Cust_68,Biryani,3,542,1626,14,UPI
5069,Cust_69,Sandwich,5,723,3615,15,Cash
5070,Cust_70,Pasta,4,251,1004,33,Card
5071,Cust_71,Pizza,5,341,1705,36,UPI
5072,Cust_72,Burger,4,540,2160,17,UPI
5073,Cust_73,Biryani,4,580,2320,37,Cash
5074,Cust_74,Biryani,3,741,2223,29,Card
5075,Cust_75,Pasta,1,639,639,25,Card
5076,Cust_76,Pasta,3,736,2208,31,Cash
5077,Cust_77,Pasta,3,721,2163,45,UPI
5078,Cust_78,Pizza,2,445,890,30,Cash
5079,Cust_79,Pasta,1,357,357,58,Card
5080,Cust_80,Pasta,5,137,685,34,UPI
5081,Cust_81,Biryani,3,230,690,33,Card
5082,Cust_82,Pasta,2,523,1046,45,UPI
5083,Cust_83,Biryani,3,410,1230,28,Cash
5084,Cust_84,Pasta,4,206,824,34,UPI
5085,Cust_85,Biryani,1,616,616,25,Cash
5086,Cust_86,Biryani,4,184,736,47,UPI
5087,Cust_87,Biryani,1,263,263,50,UPI
5088,Cust_88,Biryani,2,192,384,53,Cash
5089,Cust_89,Biryani,3,195,585,13,Cash
5090,Cust_90,Burger,4,560,2240,58,UPI
5091,Cust_91,Pizza,2,404,808,26,UPI
5092,Cust_92,Burger,5,726,3630,58,Card
5093,Cust_93,Biryani,2,374,748,24,UPI
5094,Cust_94,Pizza,1,174,174,12,UPI
5095,Cust_95,Pizza,2,136,272,24,Cash
5096,Cust_96,Burger,3,495,1485,24,Cash
5097,Cust_97,Pasta,4,455,1820,45,Card
5098,Cust_98,Burger,1,569,569,17,Card
5099,Cust_99,Pasta,4,609,2436,23,Cash
5100,Cust_100,Pizza,1,187,187,39,UPI
