MemberID,Name,Age,Gender,MembershipType,MonthlyFee,WorkoutDays,TrainerAssigned
2001,Member_1,36,Female,Basic,3670,6,Yes
2002,Member_2,19,Male,Basic,8375,20,Yes
2003,Member_3,54,Female,Basic,3431,2,Yes
2004,Member_4,39,Female,Basic,4210,20,Yes
2005,Member_5,26,Male,VIP,5744,11,Yes
2006,Member_6,48,Male,VIP,5080,10,Yes
2007,Member_7,29,Male,VIP,3773,22,Yes
2008,Member_8,33,Female,VIP,6837,4,Yes
2009,Member_9,44,Male,Basic,3344,21,Yes
2010,Member_10,54,Male,Basic,1698,11,No
2011,Member_11,49,Female,Premium,9374,10,Yes
2012,Member_12,49,Female,Basic,2631,10,Yes
2013,Member_13,54,Male,VIP,6781,26,No
2014,Member_14,46,Female,VIP,7457,6,No
2015,Member_15,40,Female,VIP,4262,25,Yes
2016,Member_16,26,Female,VIP,5657,23,No
2017,Member_17,38,Male,Basic,6798,13,No
2018,Member_18,47,Female,Premium,2084,11,Yes
2019,Member_19,21,Female,Premium,8643,20,Yes
2020,Member_20,48,Female,Basic,4194,13,No
2021,Member_21,29,Male,Premium,8430,5,Yes
2022,Member_22,39,Male,Basic,2277,4,No
2023,Member_23,36,Female,Basic,8058,16,No
2024,Member_24,41,Female,Premium,3728,8,No
2025,Member_25,49,Male,Premium,1332,15,Yes
2026,Member_26,44,Female,VIP,8535,24,No
2027,Member_27,50,Female,Premium,5654,26,No
2028,Member_28,50,Male,Premium,5497,22,No
2029,Member_29,45,Female,Basic,9546,21,No
2030,Member_30,20,Male,Basic,3827,5,No
2031,Member_31,19,Male,VIP,5469,21,Yes
2032,Member_32,18,Male,Premium,7306,28,No
2033,Member_33,29,Female,Basic,1877,16,No
2034,Member_34,29,Female,VIP,3306,27,No
2035,Member_35,45,Female,Premium,1738,20,No
2036,Member_36,29,Male,Premium,3277,25,No
2037,Member_37,49,Male,VIP,8654,26,No
2038,Member_38,28,Male,VIP,3826,14,No
2039,Member_39,36,Male,VIP,5336,9,Yes
2040,Member_40,44,Male,Basic,5145,17,No
2041,Member_41,21,Female,Premium,9877,28,Yes
2042,Member_42,45,Female,Basic,1735,24,No
2043,Member_43,41,Male,Basic,7863,9,No
2044,Member_44,35,Female,VIP,6425,22,Yes
2045,Member_45,47,Male,Basic,3651,5,Yes
2046,Member_46,24,Female,Premium,3576,13,Yes
2047,Member_47,43,Male,VIP,4463,13,Yes
2048,Member_48,53,Male,VIP,4660,5,Yes
2049,Member_49,51,Male,Premium,3390,11,No
2050,Member_50,18,Male,VIP,2383,10,No
2051,Member_51,44,Female,Basic,4571,14,No
2052,Member_52,34,Male,VIP,4011,13,Yes
2053,Member_53,53,Male,VIP,3357,27,Yes
2054,Member_54,41,Female,Basic,6328,6,No
2055,Member_55,27,Female,VIP,3847,17,No
2056,Member_56,30,Female,Basic,4983,1,No
2057,Member_57,29,Female,Basic,2713,16,No
2058,Member_58,31,Male,VIP,1623,20,No
2059,Member_59,19,Male,VIP,5881,5,Yes
2060,Member_60,45,Male,Premium,9797,7,Yes
2061,Member_61,27,Male,VIP,8886,11,Yes
2062,Member_62,18,Female,VIP,6690,27,Yes
2063,Member_63,37,Female,VIP,3607,12,Yes
2064,Member_64,28,Male,Premium,9998,9,Yes
2065,Member_65,19,Female,Basic,7408,21,Yes
2066,Member_66,43,Male,Premium,8454,17,No
2067,Member_67,40,Male,Basic,9240,25,Yes
2068,Member_68,52,Male,Premium,8954,3,Yes
2069,Member_69,30,Female,VIP,3513,6,Yes
2070,Member_70,38,Male,VIP,6420,27,No
2071,Member_71,42,Female,Basic,7710,3,No
2072,Member_72,21,Female,VIP,5218,2,Yes
2073,Member_73,18,Female,VIP,4907,16,Yes
2074,Member_74,38,Male,Basic,1395,9,Yes
2075,Member_75,37,Male,Basic,3379,28,No
2076,Member_76,47,Female,Basic,4075,4,No
2077,Member_77,23,Female,Basic,3603,5,Yes
2078,Member_78,52,Male,Basic,8231,19,No
2079,Member_79,32,Male,Premium,5532,26,No
2080,Member_80,36,Male,Premium,6816,8,Yes
2081,Member_81,46,Male,Premium,3621,1,No
2082,Member_82,36,Female,Premium,2088,20,No
2083,Member_83,35,Female,VIP,4563,14,No
2084,Member_84,45,Male,VIP,7223,18,No
2085,Member_85,27,Female,Basic,1478,7,Yes
2086,Member_86,35,Female,Premium,1795,1,Yes
2087,Member_87,52,Male,VIP,4623,13,Yes
2088,Member_88,25,Female,Premium,9074,18,No
2089,Member_89,54,Male,VIP,2431,19,Yes
2090,Member_90,50,Male,Basic,3898,13,Yes
2091,Member_91,43,Male,Premium,9647,2,Yes
2092,Member_92,25,Male,Premium,1672,27,Yes
2093,Member_93,20,Female,Premium,7697,23,Yes
2094,Member_94,21,Male,Premium,5386,14,Yes
2095,Member_95,53,Female,Premium,9408,11,Yes
2096,Member_96,21,Male,Basic,9471,13,Yes
2097,Member_97,49,Female,Basic,8327,23,No
2098,Member_98,53,Female,Basic,7312,7,Yes
2099,Member_99,39,Male,VIP,8770,12,Yes
2100,Member_100,25,Male,Basic,6471,15,Yes
