UserID,Movie,Genre,Rating,WatchHours,SubscriptionType,Device
3001,Movie_1,Horror,1.6,15,Premium,Laptop
3002,Movie_2,Drama,3.6,11,Basic,Laptop
3003,Movie_3,Horror,2.6,4,Basic,TV
3004,Movie_4,Comedy,2.5,15,Premium,Laptop
3005,Movie_5,Comedy,3.0,4,Premium,Laptop
3006,Movie_6,Sci-Fi,4.6,9,Premium,Laptop
3007,Movie_7,Drama,2.7,10,Premium,Mobile
3008,Movie_8,Horror,1.0,14,Premium,Laptop
3009,Movie_9,Sci-Fi,2.2,9,Basic,Laptop
3010,Movie_10,Comedy,3.8,4,Premium,Mobile
3011,Movie_11,Action,2.3,17,Basic,Laptop
3012,Movie_12,Sci-Fi,3.4,12,Premium,TV
3013,Movie_13,Sci-Fi,3.5,6,Basic,TV
3014,Movie_14,Sci-Fi,4.4,13,Basic,Laptop
3015,Movie_15,Sci-Fi,4.9,13,Basic,Laptop
3016,Movie_16,Drama,1.1,6,Basic,Mobile
3017,Movie_17,Sci-Fi,3.8,12,Basic,Laptop
3018,Movie_18,Drama,1.8,19,Premium,TV
3019,Movie_19,Drama,2.5,1,Basic,Mobile
3020,Movie_20,Drama,2.2,19,Basic,Mobile
3021,Movie_21,Horror,3.3,6,Premium,TV
3022,Movie_22,Comedy,2.0,1,Premium,TV
3023,Movie_23,Drama,2.8,9,Premium,Laptop
3024,Movie_24,Drama,2.6,15,Basic,Laptop
3025,Movie_25,Horror,3.4,10,Basic,Laptop
3026,Movie_26,Sci-Fi,4.2,19,Premium,TV
3027,Movie_27,Action,4.8,17,Premium,TV
3028,Movie_28,Horror,3.5,19,Basic,Mobile
3029,Movie_29,Drama,2.1,16,Basic,TV
3030,Movie_30,Drama,4.3,8,Premium,Laptop
3031,Movie_31,Sci-Fi,4.6,7,Basic,Mobile
3032,Movie_32,Comedy,2.3,7,Basic,Mobile
3033,Movie_33,Sci-Fi,1.6,4,Premium,TV
3034,Movie_34,Drama,2.4,9,Basic,TV
3035,Movie_35,Drama,3.6,13,Basic,Mobile
3036,Movie_36,Comedy,4.0,8,Basic,Laptop
3037,Movie_37,Comedy,2.8,5,Basic,Mobile
3038,Movie_38,Drama,3.4,1,Basic,TV
3039,Movie_39,Action,1.9,10,Premium,TV
3040,Movie_40,Horror,4.2,12,Basic,Mobile
3041,Movie_41,Sci-Fi,4.9,4,Basic,TV
3042,Movie_42,Sci-Fi,2.8,9,Basic,TV
3043,Movie_43,Drama,3.2,2,Basic,TV
3044,Movie_44,Action,2.7,2,Basic,TV
3045,Movie_45,Drama,2.5,17,Basic,TV
3046,Movie_46,Action,1.6,7,Basic,TV
3047,Movie_47,Drama,3.5,4,Basic,Mobile
3048,Movie_48,Comedy,1.8,4,Basic,Mobile
3049,Movie_49,Action,2.9,16,Basic,Mobile
3050,Movie_50,Action,2.1,9,Basic,TV
3051,Movie_51,Action,1.9,1,Basic,Laptop
3052,Movie_52,Horror,1.3,13,Premium,TV
3053,Movie_53,Comedy,2.1,10,Premium,Mobile
3054,Movie_54,Comedy,3.5,14,Premium,TV
3055,Movie_55,Comedy,1.1,15,Premium,Mobile
3056,Movie_56,Comedy,4.5,14,Premium,Mobile
3057,Movie_57,Comedy,4.7,18,Basic,Laptop
3058,Movie_58,Action,3.2,14,Premium,TV
3059,Movie_59,Drama,3.6,4,Basic,TV
3060,Movie_60,Comedy,4.9,19,Basic,Laptop
3061,Movie_61,Sci-Fi,3.5,2,Premium,Mobile
3062,Movie_62,Sci-Fi,4.8,16,Basic,Mobile
3063,Movie_63,Comedy,1.2,16,Basic,TV
3064,Movie_64,Sci-Fi,4.8,6,Basic,Mobile
3065,Movie_65,Comedy,2.2,12,Premium,Laptop
3066,Movie_66,Horror,1.8,3,Basic,TV
3067,Movie_67,Sci-Fi,1.1,2,Basic,Mobile
3068,Movie_68,Drama,3.0,13,Basic,TV
3069,Movie_69,Horror,4.2,1,Basic,TV
3070,Movie_70,Horror,2.4,8,Premium,TV
3071,Movie_71,Sci-Fi,4.6,7,Premium,Mobile
3072,Movie_72,Action,1.3,17,Premium,TV
3073,Movie_73,Drama,2.3,8,Basic,TV
3074,Movie_74,Sci-Fi,3.2,11,Basic,Mobile
3075,Movie_75,Sci-Fi,1.2,2,Basic,TV
3076,Movie_76,Comedy,3.5,2,Premium,Mobile
3077,Movie_77,Comedy,3.8,7,Premium,Mobile
3078,Movie_78,Action,3.4,15,Basic,TV
3079,Movie_79,Action,1.1,11,Premium,Laptop
3080,Movie_80,Comedy,4.0,16,Basic,Mobile
3081,Movie_81,Drama,2.7,12,Premium,Mobile
3082,Movie_82,Comedy,1.9,2,Premium,TV
3083,Movie_83,Drama,1.7,14,Premium,Laptop
3084,Movie_84,Sci-Fi,2.9,19,Premium,Laptop
3085,Movie_85,Comedy,3.1,15,Basic,Mobile
3086,Movie_86,Action,4.9,10,Basic,TV
3087,Movie_87,Comedy,3.6,4,Basic,Laptop
3088,Movie_88,Horror,3.1,5,Basic,TV
3089,Movie_89,Drama,1.9,1,Basic,Laptop
3090,Movie_90,Comedy,1.2,12,Premium,Mobile
3091,Movie_91,Sci-Fi,2.1,3,Premium,Laptop
3092,Movie_92,Horror,4.7,2,Basic,TV
3093,Movie_93,Action,4.5,2,Basic,Mobile
3094,Movie_94,Comedy,4.5,1,Premium,Mobile
3095,Movie_95,Drama,1.9,8,Basic,Mobile
3096,Movie_96,Horror,5.0,10,Premium,TV
3097,Movie_97,Horror,3.3,16,Basic,Mobile
3098,Movie_98,Action,4.7,15,Premium,TV
3099,Movie_99,Comedy,1.3,8,Premium,Mobile
3100,Movie_100,Action,2.6,1,Basic,Laptop
