CustomerID,Name,PlanType,RechargeAmount,DataUsageGB,CallMinutes,City
4001,User_1,Postpaid,3697,47.7,3826,Chennai
4002,User_2,Prepaid,3223,32.62,2507,Hyderabad
4003,User_3,Postpaid,1649,3.54,4776,Mumbai
4004,User_4,Prepaid,2579,47.32,3187,Chennai
4005,User_5,Postpaid,4541,56.25,4934,Hyderabad
4006,User_6,Prepaid,1703,6.71,1619,Hyderabad
4007,User_7,Prepaid,2423,4.1,2316,Chennai
4008,User_8,Prepaid,2501,17.41,922,Mumbai
4009,User_9,Postpaid,3083,65.42,3404,Mumbai
4010,User_10,Postpaid,1929,27.67,1306,Mumbai
4011,User_11,Prepaid,3948,70.9,72,Delhi
4012,User_12,Postpaid,1358,8.25,3186,Chennai
4013,User_13,Postpaid,780,59.9,4645,Mumbai
4014,User_14,Prepaid,4641,42.22,3742,Mumbai
4015,User_15,Postpaid,1316,83.91,3808,Mumbai
4016,User_16,Postpaid,3149,55.17,1624,Hyderabad
4017,User_17,Prepaid,1198,25.9,1925,Delhi
4018,User_18,Postpaid,3213,20.68,520,Delhi
4019,User_19,Prepaid,1147,63.77,1036,Mumbai
4020,User_20,Postpaid,3420,15.23,1681,Hyderabad
4021,User_21,Postpaid,1427,65.55,4339,Mumbai
4022,User_22,Prepaid,3548,82.88,1988,Mumbai
4023,User_23,Prepaid,4447,1.3,134,Mumbai
4024,User_24,Postpaid,4456,6.2,4356,Delhi
4025,User_25,Prepaid,3685,29.65,2537,Chennai
4026,User_26,Prepaid,4520,34.89,3145,Mumbai
4027,User_27,Postpaid,2919,95.43,4469,Mumbai
4028,User_28,Postpaid,4600,11.9,668,Delhi
4029,User_29,Postpaid,1808,13.5,3154,Delhi
4030,User_30,Postpaid,3658,97.64,3854,Hyderabad
4031,User_31,Postpaid,1841,33.48,1202,Mumbai
4032,User_32,Prepaid,3939,43.82,3306,Chennai
4033,User_33,Prepaid,3883,10.86,3105,Delhi
4034,User_34,Postpaid,3412,49.72,3683,Mumbai
4035,User_35,Prepaid,327,48.31,1477,Mumbai
4036,User_36,Prepaid,1118,44.36,3187,Chennai
4037,User_37,Prepaid,4983,81.84,3158,Chennai
4038,User_38,Postpaid,987,35.69,2763,Delhi
4039,User_39,Postpaid,3508,72.7,4720,Delhi
4040,User_40,Prepaid,1680,64.02,505,Mumbai
4041,User_41,Postpaid,667,49.74,2252,Mumbai
4042,User_42,Prepaid,1967,70.78,3435,Hyderabad
4043,User_43,Postpaid,301,63.04,2052,Chennai
4044,User_44,Postpaid,2907,84.68,3830,Mumbai
4045,User_45,Prepaid,3701,50.08,4285,Mumbai
4046,User_46,Prepaid,2567,8.19,2562,Chennai
4047,User_47,Prepaid,2035,73.67,2758,Hyderabad
4048,User_48,Postpaid,1280,40.65,2879,Chennai
4049,User_49,Postpaid,3378,20.34,1811,Delhi
4050,User_50,Postpaid,2815,38.84,2676,Mumbai
4051,User_51,Postpaid,1514,72.11,3373,Mumbai
4052,User_52,Prepaid,439,56.07,753,Chennai
4053,User_53,Prepaid,4329,37.51,1279,Chennai
4054,User_54,Postpaid,2009,81.99,1100,Hyderabad
4055,User_55,Prepaid,3992,51.3,871,Mumbai
4056,User_56,Postpaid,2579,33.31,3761,Chennai
4057,User_57,Postpaid,437,16.53,2677,Mumbai
4058,User_58,Prepaid,1529,30.49,4523,Hyderabad
