player_id,player_name,team,role,nationality,age,matches_played,innings_batted,runs_scored,highest_score,batting_avg,strike_rate,centuries,half_centuries,fours,sixes,innings_bowled,wickets,bowling_avg,economy_rate,best_bowling,catches,stumpings,salary_cr,mvp_awards,performance_per_crore
PL001,Rohit Sharma,Mumbai Indians,Batsman,Indian,36,230,225,5880,109,30.5,128.4,2.0,42,620,285,0,0,,,,45,0,18.5,3,317.8378378378378
PL002,Virat Kohli,Royal Challengers Bangalore,Batsman,Indian,35,237,230,7263,113,37.1,130.2,7.0,50,680,210,0,0,,,,98,0,21.0,5,345.85714285714283
PL003,MS Dhoni,Chennai Super Kings,Wicket-Keeper,Indian,42,250,185,4978,84,38.9,135.1,0.0,24,290,220,0,0,,,,165,42,20.0,4,248.9
PL004,Jasprit Bumrah,Mumbai Indians,Bowler,Indian,30,120,15,85,22,8.5,110.4,0.0,0,8,5,118,145,22.8,6.8,5/10,35,0,17.5,2,
PL005,KL Rahul,Lucknow Super Giants,Batsman,Indian,31,132,128,4200,132,38.5,134.6,1.0,35,380,190,0,0,,,,52,18,19.5,1,215.3846153846154
PL006,Hardik Pandya,Mumbai Indians,All-Rounder,Indian,30,115,105,2650,91,28.2,148.5,0.0,15,210,185,108,75,28.4,8.2,4/33,62,0,15.0,2,176.66666666666666
PL007,Rashid Khan,Gujarat Titans,Bowler,Afghan,25,92,12,45,15,5.0,95.2,0.0,0,4,2,90,112,19.6,6.2,4/20,38,0,14.5,3,
PL008,David Warner,Delhi Capitals,Batsman,Australian,37,162,160,5881,126,41.2,140.8,4.0,52,640,310,0,0,,,,82,0,16.0,2,367.5625
PL009,AB de Villiers,Royal Challengers Bangalore,Batsman,South African,39,184,170,4849,133,40.2,151.7,3.0,40,390,280,0,0,,,,72,0,15.5,3,312.83870967741933
PL010,Suresh Raina,Chennai Super Kings,All-Rounder,Indian,37,205,200,5528,100,32.5,136.7,1.0,38,500,220,42,35,32.5,8.5,2/15,95,0,12.0,2,460.6666666666667
PL011,Yuzvendra Chahal,Rajasthan Royals,Bowler,Indian,33,130,8,22,10,3.1,72.5,0.0,0,2,1,128,187,22.1,7.4,5/40,48,0,10.5,1,
PL012,Rishabh Pant,Delhi Capitals,Wicket-Keeper,Indian,26,98,92,2838,128,34.6,148.2,1.0,18,225,185,0,0,,,,78,25,16.0,2,177.375
PL014,Andre Russell,Kolkata Knight Riders,All-Rounder,West Indian,35,105,88,2350,88,35.6,178.5,0.0,16,165,215,98,89,26.8,9.1,4/20,58,0,14.0,2,167.85714285714286
PL015,Trent Boult,Rajasthan Royals,Bowler,New Zealander,34,78,5,12,8,2.0,85.4,0.0,0,1,1,76,95,23.5,7.2,4/18,28,0,11.0,1,
PL016,Shikhar Dhawan,Punjab Kings,Batsman,Indian,38,206,202,6244,97,34.8,126.5,0.0,51,720,175,0,0,,,,72,0,13.5,1,462.51851851851853
PL017,Ravindra Jadeja,Chennai Super Kings,All-Rounder,Indian,35,210,158,2502,62,22.3,124.8,0.0,5,195,95,188,132,28.5,7.2,5/16,112,0,14.0,2,178.71428571428572
