Employee_ID,Age,Gender,Department,Experience_Years,Monthly_Salary,Performance_Rating,Work_Life_Balance,Job_Satisfaction,Attrition_Status
E1001,50,Female,HR,4,177270,3,Average,7,No
E1002,43,Female,HR,5,174521,3,Poor,1,Yes
E1003,32,Male,DevOps,7,63163,5,Average,8,No
E1004,29,Female,HR,0,192028,1,Average,5,Yes
E1005,30,Male,DevOps,7,192827,4,Poor,6,Yes
E1006,35,Male,DevOps,4,49533,4,Poor,4,Yes
E1007,49,Female,Sales,11,30327,1,Average,2,Yes
E1008,22,Male,Software,5,159212,2,Average,2,No
E1009,23,Male,Marketing,24,89796,5,Good,2,No
E1010,37,Male,DevOps,25,134717,4,Average,5,No
E1011,38,Female,Marketing,5,192517,5,Average,7,No
E1012,43,Male,Support,21,87652,1,Good,7,No
E1013,36,Female,Sales,23,84122,5,Poor,1,Yes
E1014,33,Female,Marketing,8,179269,2,Average,5,No
E1015,28,Male,Sales,11,161206,2,Poor,7,No
E1016,54,Male,Data Science,11,93046,1,Poor,9,No
E1017,55,Male,DevOps,0,85467,2,Average,3,No
E1018,45,Female,Software,8,63465,2,Good,1,No
E1019,31,Female,Sales,6,123357,4,Average,10,No
E1020,39,Female,DevOps,8,195656,4,Average,1,No
E1021,39,Male,Marketing,4,68069,5,Good,10,No
E1022,55,Female,HR,9,115130,3,Average,9,No
E1023,26,Female,Testing,6,165134,1,Poor,2,Yes
E1024,29,Male,HR,21,176241,4,Poor,3,Yes
E1025,21,Female,Marketing,22,129061,2,Average,8,No
E1026,30,Female,DevOps,19,171552,2,Good,2,Yes
E1027,58,Male,Marketing,3,41644,4,Average,3,No
E1028,30,Male,Support,0,98867,3,Good,10,No
E1029,49,Female,Testing,0,82731,4,Good,1,Yes
E1030,46,Male,Sales,19,109115,5,Good,1,Yes
E1031,33,Female,HR,21,78348,2,Good,8,Yes
E1032,21,Female,DevOps,0,46381,5,Poor,10,No
E1033,44,Female,DevOps,1,85185,2,Average,7,No
E1034,56,Female,Data Science,13,146250,5,Average,9,No
E1035,32,Female,Sales,9,191410,4,Average,4,No
