customer_id,bill_date,signup_date,tenure_months,contract_type,service_type,region,city,customer_age,gender,monthly_charges,data_usage_gb,support_calls,satisfaction_score,payment_method,churn,churn_bool,bill_month,tenure_band,age_group
CUST101659,2025-10-18,2025-09-18,1.0,Month-to-month,Mobile,South,Bengaluru,38.0,Female,451.64,26.1,1.0,5.0,Credit Card,No,False,2025-10,0-3m,36-45
CUST101855,2025-10-01,2025-05-04,5.0,One year,Broadband,North,Lucknow,63.0,Female,852.75,61.7,0.0,5.0,UPI,No,False,2025-10,4-6m,56-65
CUST101589,2025-08-31,,11.0,Month-to-month,Broadband,South,Bengaluru,26.0,Male,832.94,83.2,1.0,5.0,Credit Card,No,False,2025-08,7-12m,26-35
CUST101471,2025-10-30,,20.0,Two year,Mobile,West,Surat,45.0,Male,393.81,36.5,0.0,5.0,Credit Card,No,False,2025-10,19-24m,36-45
CUST100875,2025-10-04,2025-08-05,2.0,Month-to-month,Mobile,East,Patna,39.0,Female,402.9,63.9,0.0,5.0,UPI,No,False,2025-10,0-3m,36-45
CUST102571,2025-11-06,2024-09-12,14.0,One year,Bundled,South,Chennai,33.0,Male,1151.58,18.1,0.0,5.0,UPI,No,False,2025-11,13-18m,26-35
CUST101758,2025-10-17,,16.0,Month-to-month,Broadband,North,Lucknow,28.0,Male,866.94,214.9,1.0,5.0,UPI,No,False,2025-10,13-18m,26-35
CUST100434,2025-12-07,2025-05-11,7.0,One year,Bundled,South,Chennai,40.0,Male,1219.18,40.5,0.0,5.0,Net Banking,No,False,2025-12,7-12m,36-45
CUST101062,2025-11-01,2025-02-04,9.0,Month-to-month,Bundled,East,Bhubaneswar,26.0,Male,1124.89,29.2,1.0,5.0,UPI,No,False,2025-11,7-12m,26-35
CUST101286,2025-11-29,2024-08-06,15.0,Month-to-month,Mobile,East,Kolkata,29.0,Female,445.72,11.8,0.0,4.0,Cash,No,False,2025-11,13-18m,26-35
CUST101999,2025-11-18,2025-08-20,3.0,One year,Bundled,East,Bhubaneswar,49.0,Female,1237.19,25.5,2.0,4.0,Cash,No,False,2025-11,0-3m,46-55
CUST101404,2025-11-18,,11.0,Month-to-month,Mobile,East,Patna,38.0,Female,286.81,31.6,0.0,5.0,Credit Card,No,False,2025-11,7-12m,36-45
CUST100741,2025-10-04,2025-06-06,4.0,Month-to-month,Mobile,North,Jaipur,56.0,Female,395.21,18.4,1.0,5.0,Net Banking,No,False,2025-10,4-6m,56-65
CUST101991,2025-11-30,2025-09-01,2.0,Month-to-month,Broadband,East,Bhubaneswar,21.0,Female,789.15,197.7,0.0,5.0,Credit Card,Yes,True,2025-11,0-3m,18-25
CUST102180,2025-11-21,2025-03-26,8.0,One year,Mobile,South,Bengaluru,38.0,Male,484.06,54.2,0.0,5.0,UPI,No,False,2025-11,7-12m,36-45
CUST100124,2025-09-29,2024-11-03,10.0,Month-to-month,Broadband,North,Jaipur,18.0,Male,899.27,173.1,0.0,5.0,UPI,No,False,2025-09,7-12m,18-25
CUST100962,2025-10-31,2025-01-04,9.0,Month-to-month,Broadband,North,Delhi,30.0,Female,834.19,118.6,1.0,5.0,Credit Card,No,False,2025-10,7-12m,26-35
CUST102713,2025-12-10,2024-09-16,15.0,One year,Bundled,South,Hyderabad,55.0,Female,1172.73,4.6,1.0,5.0,Credit Card,No,False,2025-12,13-18m,46-55
CUST101759,2025-11-16,,21.0,Month-to-month,Mobile,East,Bhubaneswar,50.0,Male,342.23,75.5,0.0,5.0,Cash,No,False,2025-11,19-24m,46-55
CUST101410,2025-09-22,,18.0,Month-to-month,Mobile,West,Ahmedabad,48.0,Male,405.18,57.1,0.0,5.0,Net Banking,No,False,2025-09,13-18m,46-55
CUST100977,2025-10-28,2025-07-30,3.0,Month-to-month,Mobile,East,Bhubaneswar,43.0,Male,350.98,23.4,0.0,5.0,Net Banking,No,False,2025-10,0-3m,36-45
CUST100130,2025-11-12,,22.0,Two year,Mobile,East,Patna,35.0,Female,362.5,8.8,1.0,3.0,Net Banking,No,False,2025-11,19-24m,26-35
CUST100264,2025-11-06,,22.0,Month-to-month,Bundled,South,Chennai,32.0,Female,1182.36,58.0,0.0,5.0,Credit Card,No,False,2025-11,19-24m,26-35
CUST100226,2025-10-06,,21.0,Two year,Bundled,West,Ahmedabad,31.0,Female,1172.88,47.8,1.0,4.0,UPI,No,False,2025-10,19-24m,26-35
CUST101558,2025-12-27,2025-10-28,2.0,Month-to-month,Mobile,South,Hyderabad,43.0,Male,354.44,16.9,0.0,4.0,Cash,No,False,2025-12,0-3m,36-45
CUST100891,2025-08-08,2025-05-10,3.0,Month-to-month,Broadband,West,Ahmedabad,36.0,Female,824.77,82.7,2.0,4.0,Credit Card,No,False,2025-08,0-3m,36-45
CUST101624,2025-10-17,2024-09-22,13.0,Two year,Mobile,North,Lucknow,26.0,Male,381.16,46.8,1.0,5.0,UPI,No,False,2025-10,13-18m,26-35
CUST101588,2025-12-17,,22.0,Month-to-month,Mobile,North,Jaipur,31.0,Male,323.19,11.3,1.0,5.0,Credit Card,Yes,True,2025-12,19-24m,26-35
CUST101992,2025-10-03,,20.0,Month-to-month,Mobile,West,Surat,55.0,Female,412.81,32.9,1.0,5.0,Cash,No,False,2025-10,19-24m,46-55
CUST102942,2025-08-23,,15.0,Month-to-month,Broadband,East,Patna,50.0,Male,824.97,206.3,1.0,5.0,Credit Card,No,False,2025-08,13-18m,46-55
CUST100411,2025-10-23,,17.0,Two year,Mobile,West,Surat,34.0,Male,386.48,33.8,0.0,4.0,Credit Card,No,False,2025-10,13-18m,26-35
CUST100906,2025-10-20,2025-04-23,6.0,One year,Mobile,South,Hyderabad,49.0,Male,456.9,30.5,0.0,5.0,UPI,No,False,2025-10,4-6m,46-55
CUST101261,2025-07-23,2024-12-25,11.0,Two year,Bundled,West,Surat,38.0,Female,1146.25,14.6,0.0,5.0,Credit Card,No,False,2025-07,7-12m,36-45
CUST100968,2025-10-28,,18.0,Two year,Bundled,North,Chandigarh,35.0,Female,1183.89,82.5,0.0,5.0,UPI,No,False,2025-10,13-18m,26-35
CUST101063,2025-12-09,,20.0,Month-to-month,Mobile,East,Guwahati,41.0,Male,397.84,44.6,0.0,5.0,UPI,No,False,2025-12,19-24m,36-45
CUST101361,2025-11-14,2025-10-15,1.0,One year,Bundled,West,Pune,18.0,Male,1237.14,26.7,1.0,4.0,Cash,No,False,2025-11,0-3m,18-25
CUST100147,2025-12-17,2024-07-25,17.0,Two year,Broadband,North,Chandigarh,18.0,Female,777.9,193.0,1.0,5.0,Credit Card,No,False,2025-12,13-18m,18-25
CUST100165,2025-10-12,2024-07-19,15.0,Month-to-month,Broadband,South,Chennai,42.0,Male,757.1,88.6,1.0,4.0,Credit Card,No,False,2025-10,13-18m,36-45
CUST100696,2025-12-04,2025-11-04,1.0,Month-to-month,Mobile,South,Bengaluru,42.0,Female,369.89,17.9,0.0,5.0,Cash,Yes,True,2025-12,0-3m,36-45
CUST101498,2025-07-27,,14.0,One year,Broadband,North,Lucknow,34.0,Male,854.21,207.8,2.0,4.0,Cash,No,False,2025-07,13-18m,26-35
CUST102323,2025-11-28,2025-03-03,8.0,Two year,Broadband,East,Kolkata,40.0,Female,733.92,211.2,0.0,5.0,Net Banking,No,False,2025-11,7-12m,36-45
CUST101159,2025-08-24,2025-03-27,5.0,Two year,Broadband,West,Surat,59.0,Male,766.89,247.9,0.0,5.0,Credit Card,No,False,2025-08,4-6m,56-65
CUST100161,2025-09-07,2024-08-13,13.0,Two year,Bundled,West,Pune,31.0,Female,1143.98,39.6,0.0,5.0,UPI,No,False,2025-09,13-18m,26-35
CUST100020,2025-10-26,2025-09-26,1.0,Month-to-month,Mobile,West,Surat,26.0,Female,437.25,21.8,1.0,3.0,Credit Card,No,False,2025-10,0-3m,26-35
CUST100143,2025-07-30,,14.0,Month-to-month,Bundled,East,Kolkata,29.0,Male,1183.77,42.3,0.0,5.0,Net Banking,No,False,2025-07,13-18m,26-35
CUST101491,2025-12-04,,23.0,Month-to-month,Broadband,North,Chandigarh,44.0,Male,863.1,140.1,0.0,5.0,UPI,No,False,2025-12,19-24m,36-45
CUST102346,2025-08-18,,11.0,Month-to-month,Bundled,West,Ahmedabad,45.0,Male,1228.81,14.7,0.0,5.0,UPI,No,False,2025-08,7-12m,36-45
