customer_id,bill_date,signup_date,tenure_months,contract_type,service_type,region,city,customer_age,gender,monthly_charges,data_usage_gb,support_calls,satisfaction_score,payment_method,churn
CUST101659,2025-10-18,2025-09-18,1.0,Month-to-month,Mobile,South,Bengaluru,38,Female,451.64,26.1,1.0,5.0,Credit Card,No
CUST101855,2025-10-01,2025-05-04,5.0,One year,  broadband  ,North,Lucknow,63,Female,852.75,61.7,0.0,5.0,UPI,No
CUST101589,2025-08-31,08/05/2024,-15.0,Month-to-month,BROADBAND,South,Bengaluru,26,Male,832.94,83.2,1.0,5.0,Credit Card,No
CUST101471,2025-10-30,08/02/2024,20.0,Two year,  mobile  ,West,Surat,45,Male,393.81,36.5,0.0,5.0,Credit Card,No
CUST100875,2025-10-04,2025-08-05,2.0,Month-to-month,Mobile,East,Patna,39,Female,402.9,63.9,0.0,5.0,UPI,No
CUST102571,2025-11-06,2024-09-12,14.0,One year,Bundled,South,Chennai,33,Male,1151.58,18.1,0.0,,UPI,No
CUST101758,2025-10-17,24/06/2024,16.0,Month-to-month,Broadband,North,Lucknow,28,Male,866.94,214.9,1.0,5.0,UPI,No
CUST100434,2025-12-07,2025-05-11,7.0,One year,Bundled,South,chennai,40,Male,1219.18,40.5,0.0,5.0,Net Banking,No
CUST101062,2025-11-01,2025-02-04,9.0,Month-to-month,Bundled,East,Bhubaneswar,26,Male,1124.89,753.9352605488979,1.0,5.0,UPI,No
CUST101286,2025-11-29,2024-08-06,15.0,,Mobile,East,kolkata,29,Female,445.72,11.8,0.0,4.0,Cash,No
CUST101999,2025-11-18,2025-08-20,3.0,One year,Bundled,East,Bhubaneswar,49,Female,1237.19,25.5,2.0,4.0,Cash,No
CUST101404,2025-11-18,28/03/2024,,Month-to-month,Mobile,East,patna,200,Female,286.81,31.6,0.0,5.0,Credit Card,No
CUST100741,2025-10-04,2025-06-06,4.0,,MOBILE,North,jaipur,56,Female,395.21,18.4,1.0,,Net Banking,No
CUST101991,2025-11-30,2025-09-01,2.0,Month-to-month,Broadband,East,Bhubaneswar,21,Female,789.15,197.7,0.0,5.0,Credit Card,Yes
CUST102180,2025-11-21,2025-03-26,8.0,One year,Mobile,South,Bengaluru,38,Male,484.06,54.2,0.0,5.0,UPI,No
CUST100124,2025-09-29,2024-11-03,10.0,Month-to-month,Broadband,North,Jaipur,18,Male,899.27,173.1,0.0,5.0,UPI,No
CUST100962,2025-10-31,2025-01-04,9.0,Month-to-month,Broadband,North,Delhi,30,Female,834.19,118.6,1.0,5.0,Credit Card,No
CUST102713,2025-12-10,2024-09-16,15.0,One year,Bundled,South,  Hyderabad  ,55,Female,1172.73,4.6,1.0,5.0,Credit Card,No
CUST101759,2025-11-16,25/02/2024,21.0,Month-to-month,Mobile,East,Bhubaneswar,50,Male,342.23,75.5,0.0,,Cash,No
CUST101410,2025-09-22,31/03/2024,18.0,Month-to-month,Mobile,West,Ahmedabad,48,Male,405.18,57.1,0.0,5.0,Net Banking,No
CUST100977,2025-10-28,2025-07-30,3.0,Month-to-month,Mobile,East,Bhubaneswar,43,Male,350.98,23.4,0.0,5.0,Net Banking,No
CUST100130,2025-11-12,22/01/2024,22.0,Two year,Mobile,East,patna,35,Female,362.5,8.8,1.0,3.0,Net Banking,No
CUST100264,2025-11-06,16/01/2024,22.0,Month-to-month,Bundled,South,  Chennai  ,32,Female,1182.36,58.0,0.0,5.0,Credit Card,No
